yield	variety	year	site
27.43334	Manchuria	1931	Morris
28.76667	Glabron	1931	Morris
25.76667	Svansota	1931	Morris
26.13333	Velvet	1931	Morris
43.76667	Trebi	1931	Morris
28.7	No. 457	1931	Morris
30.36667	No. 462	1931	Morris
29.86667	Peatland	1931	Morris
22.6	No. 475	1931	Morris
29.46667	Wisconsin No. 38	1931	Morris
34.36666	Manchuria	1932	Morris
35.13333	Glabron	1932	Morris
35.03333	Svansota	1932	Morris
38.83333	Velvet	1932	Morris
46.63333	Trebi	1932	Morris
43.53334	No. 457	1932	Morris
47	No. 462	1932	Morris
43.2	Peatland	1932	Morris
44.23333	No. 475	1932	Morris
47.16667	Wisconsin No. 38	1932	Morris
