val,cutoff,year,country
6910,cop5,1981,Australia
6864,cop5,1985,Australia
6555,cop5,1989,Australia
6551,cop5,1995,Australia
7002,cop5,2001,Australia
7090,cop5,2003,Australia
8818,cop5,1987,Austria
8744,cop5,1994,Austria
5813,cop5,1995,Austria
8586,cop5,1997,Austria
9807,cop5,2000,Austria
10510,cop5,2004,Austria
7718,cop5,1985,Belgium
7956,cop5,1988,Belgium
8287,cop5,1992,Belgium
8312,cop5,1995,Belgium
8188,cop5,1997,Belgium
8593,cop5,2000,Belgium
7361,cop5,1981,Canada
7961,cop5,1987,Canada
8175,cop5,1991,Canada
8117,cop5,1994,Canada
7643,cop5,1997,Canada
7600,cop5,1998,Canada
7696,cop5,2000,Canada
7904,cop5,2004,Canada
9171,cop5,2007,Canada
9445,cop5,2010,Canada
7976,cop5,1987,Denmark
8236,cop5,1992,Denmark
9668,cop5,1995,Denmark
10148,cop5,2000,Denmark
10539,cop5,2004,Denmark
1730,cop5,2000,Estonia
2162,cop5,2004,Estonia
3737,cop5,2007,Estonia
2980,cop5,2010,Estonia
7364,cop5,1987,Finland
7933,cop5,1991,Finland
7624,cop5,1995,Finland
7978,cop5,2000,Finland
8596,cop5,2004,Finland
8946,cop5,2007,Finland
9379,cop5,2010,Finland
5045,cop5,1978,France
4121,cop5,1984,France
6504,cop5,1989,France
7696,cop5,1994,France
7972,cop5,2000,France
7815,cop5,2005,France
8961,cop5,1981,Germany
10101,cop5,1983,Germany
7731,cop5,1984,Germany
9583,cop5,1989,Germany
8512,cop5,1994,Germany
9142,cop5,2000,Germany
8950,cop5,2004,Germany
8841,cop5,2007,Germany
8554,cop5,2010,Germany
2846,cop5,1995,Greece
3852,cop5,2000,Greece
5327,cop5,2004,Greece
5937,cop5,2007,Greece
4925,cop5,2010,Greece
3959,cop5,1987,Ireland
5439,cop5,1994,Ireland
5457,cop5,1995,Ireland
5765,cop5,1996,Ireland
6744,cop5,2000,Ireland
7827,cop5,2004,Ireland
9672,cop5,2007,Ireland
8196,cop5,2010,Ireland
4185,cop5,1986,Israel
4895,cop5,1992,Israel
4359,cop5,1997,Israel
4968,cop5,2001,Israel
3858,cop5,2005,Israel
4258,cop5,2007,Israel
4233,cop5,2010,Israel
4711,cop5,1986,Italy
4653,cop5,1987,Italy
5959,cop5,1989,Italy
6247,cop5,1991,Italy
4241,cop5,1993,Italy
4054,cop5,1995,Italy
4294,cop5,1998,Italy
4767,cop5,2000,Italy
5155,cop5,2004,Italy
5910,cop5,2008,Italy
5011,cop5,2010,Italy
8882,cop5,1985,Luxembourg
13654,cop5,1991,Luxembourg
14712,cop5,1994,Luxembourg
13300,cop5,1997,Luxembourg
13970,cop5,2000,Luxembourg
15231,cop5,2004,Luxembourg
15191,cop5,2007,Luxembourg
15875,cop5,2010,Luxembourg
962,cop5,1989,Mexico
952,cop5,1992,Mexico
998,cop5,1994,Mexico
795,cop5,1996,Mexico
693,cop5,1998,Mexico
898,cop5,2000,Mexico
972,cop5,2002,Mexico
979,cop5,2004,Mexico
1140,cop5,2008,Mexico
1021,cop5,2010,Mexico
7213,cop5,1983,Netherlands
8689,cop5,1987,Netherlands
8871,cop5,1990,Netherlands
7412,cop5,1993,Netherlands
10584,cop5,1999,Netherlands
9601,cop5,2004,Netherlands
11309,cop5,2007,Netherlands
11254,cop5,2010,Netherlands
6791,cop5,1979,Norway
8430,cop5,1986,Norway
8930,cop5,1991,Norway
9729,cop5,1995,Norway
10393,cop5,2000,Norway
10898,cop5,2004,Norway
1690,cop5,1995,Poland
2577,cop5,1999,Poland
2343,cop5,2004,Poland
3016,cop5,2007,Poland
3504,cop5,2010,Poland
3366,cop5,1980,Spain
3493,cop5,1985,Spain
4637,cop5,1990,Spain
3737,cop5,1995,Spain
5677,cop5,2000,Spain
5542,cop5,2004,Spain
6138,cop5,2007,Spain
4112,cop5,2010,Spain
6203,cop5,1981,Sweden
6107,cop5,1987,Sweden
